Title	URL	Author	Page views	Creation date	Status
How to report weather-related closings, delays	https://assets.msn.com/labs/mind/AAlErhA.html	newsscienceandtechnology	3.0	Nov 2019	newsscienceandtechnology
25 Biggest Grocery Store Mistakes Making You Gain Weight	https://assets.msn.com/labs/mind/AABqkFQ.html	nutrition	2556.0	Nov 2019	nutrition
Every outfit Duchess Kate has worn in 2019	https://assets.msn.com/labs/mind/AABvaDh.html	lifestyleroyals	4101.0	Nov 2019	lifestyleroyals
New iPad Pro 2019 release date, price, news and leaks	https://assets.msn.com/labs/mind/AAGZjoR.html	newsscienceandtechnology	12.0	Nov 2019	newsscienceandtechnology
Can you answer these real Jeopardy questions about TV shows?	https://assets.msn.com/labs/mind/AABs6Gq.html	tv-gallery	15892.0	Nov 2019	tv-gallery
The Top 50 Fast Food Restaurants in America	https://assets.msn.com/labs/mind/AACJNCJ.html	restaurantsandnews	243.0	Nov 2019	restaurantsandnews
In Photos: Flooding across the globe	https://assets.msn.com/labs/mind/AAEmMJu.html	weathertopstories	17.0	Nov 2019	weathertopstories
17 Surprising Ways Penny-Pinching Costs You More	https://assets.msn.com/labs/mind/AAB4M2y.html	finance-savemoney	4.0	Nov 2019	finance-savemoney
14 Celebs Over 50 Who Are In The Best Shape Of Their Lives	https://assets.msn.com/labs/mind/AABHaIE.html	fitness	1402.0	Nov 2019	fitness
17 Low-Impact Workouts You Should Try If You're Not In Your 20s Anymore	https://assets.msn.com/labs/mind/AABpggG.html	fitness	21.0	Nov 2019	fitness
25 Hot Jobs That Pay More Than $100,000 a Year	https://assets.msn.com/labs/mind/AAEMP1E.html	finance-career	24.0	Nov 2019	finance-career
39 Appetizers for a Crowd That Are Easy and Unexpected	https://assets.msn.com/labs/mind/AAGaXY3.html	quickandeasy	6693.0	Nov 2019	quickandeasy
Photos of College Football Cheerleaders	https://assets.msn.com/labs/mind/AAGCsQC.html	football_ncaa	70.0	Nov 2019	football_ncaa
Best website defacement monitoring service of 2019	https://assets.msn.com/labs/mind/AAC9inp.html	autosnews	17.0	Nov 2019	autosnews
This is how much water you need to drink for weight loss	https://assets.msn.com/labs/mind/AACl1lW.html	nutrition	21.0	Nov 2019	nutrition
The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu	https://assets.msn.com/labs/mind/AAGaoIu.html	restaurantsandnews	2594.0	Nov 2019	restaurantsandnews
The penthouse of NYC's Woolworth Building just got a $31 million price cut. Check out 'The Pinnacle,' which occupies the top 5 floors of the iconic, green-roofed skyscraper.	https://assets.msn.com/labs/mind/AAJJaaX.html	finance-real-estate	4.0	Nov 2019	finance-real-estate
12 Life-Changing Career Tips From Navy SEALs	https://assets.msn.com/labs/mind/AAEzMYa.html	lifestylecareer	40.0	Nov 2019	lifestylecareer
These Room Divider Ideas Will Transform Your Home in an Instant	https://assets.msn.com/labs/mind/AACnJIS.html	lifestyledecor	27.0	Nov 2019	lifestyledecor
The most famous automotive advertising slogans - US edition	https://assets.msn.com/labs/mind/AAJl4Cc.html	autosnews	10.0	Nov 2019	autosnews
Sports on the air: Daily TV and radio schedule	https://assets.msn.com/labs/mind/AABaBkM.html	more_sports	20.0	Nov 2019	more_sports
Chevy Equinox Discounted Up To 20 Percent In November	https://assets.msn.com/labs/mind/AAJJagt.html	autosbuying	4.0	Nov 2019	autosbuying
15 Abandoned Places That You Can See Only in Pictures	https://assets.msn.com/labs/mind/AAHfRcY.html	lifestyledidyouknow	565.0000000000001	Nov 2019	lifestyledidyouknow
Monument Circle will become a big movie screen with lights Saturday. Here's how it works.	https://assets.msn.com/labs/mind/AAJWEAB.html	newsoffbeat	3.0	Nov 2019	newsoffbeat
The Best Pre-Black Friday and Cyber Monday Deals of 2019	https://assets.msn.com/labs/mind/AAFfH23.html	shop-holidays	60.0	Nov 2019	shop-holidays
32 Best Good-Mood Foods	https://assets.msn.com/labs/mind/AABc5fE.html	nutrition	14.0	Nov 2019	nutrition
The Long, Hard Road: Find all of our stories in the yearlong series here	https://assets.msn.com/labs/mind/AAHxMmq.html	travelarticle	7.0	Nov 2019	travelarticle
All the Things You Didn't Know About 'The Crown'	https://assets.msn.com/labs/mind/AAGjm53.html	tvnews	229.0	Nov 2019	tvnews
Nearly half of millennials have been in debt for their pet	https://assets.msn.com/labs/mind/AAI3y5k.html	finance-billstopay	5.0	Nov 2019	finance-billstopay
9 Amazing Transgender Women Who Changed History	https://assets.msn.com/labs/mind/AAF4wZx.html	lifestyledidyouknow	11574.0	Nov 2019	lifestyledidyouknow
How Every Zodiac Sign Handles A Breakup	https://assets.msn.com/labs/mind/AAF50Bg.html	lifestylehoroscope	16.0	Nov 2019	lifestylehoroscope
105 Most Popular Sodas Ranked by How Toxic They Are	https://assets.msn.com/labs/mind/AAF5HQU.html	nutrition	6263.0	Nov 2019	nutrition
How millennials are changing banking	https://assets.msn.com/labs/mind/AAHbP4O.html	finance-billstopay	3.0	Nov 2019	finance-billstopay
Is Lemon Water Healthy?	https://assets.msn.com/labs/mind/AAE1TNI.html	nutrition	861.0000000000001	Nov 2019	nutrition
I Was 24 & Had Just Scored My Dream Job In Fashion. Then An Accident In The Hamptons Changed Everything.	https://assets.msn.com/labs/mind/AAGoTDf.html	voices	404.99999999999994	Nov 2019	voices
Should you move to Washington, D.C.?	https://assets.msn.com/labs/mind/AAGKaBB.html	travelarticle	18.0	Nov 2019	travelarticle
NFL Cheerleaders	https://assets.msn.com/labs/mind/AAGdYvi.html	football_nfl	198.0	Nov 2019	football_nfl
12 Best Car Deals This October	https://assets.msn.com/labs/mind/AAl4ffd.html	autosbuying	17.0	Nov 2019	autosbuying
The best free PC optimization software 2019: speed up your PC quickly and easily	https://assets.msn.com/labs/mind/AAE20XI.html	autosnews	12.0	Nov 2019	autosnews
12 Photos Show What It's Really Like To Grow Up Trans	https://assets.msn.com/labs/mind/AAF6W1e.html	lifestyleparenting	4480.0	Nov 2019	lifestyleparenting
17 Secret Waiter Tricks That Diners Never Notice	https://assets.msn.com/labs/mind/AAGegWs.html	tipsandtricks	1992.0	Nov 2019	tipsandtricks
ON THE GUN: Browning X-Bolt Max Long Range	https://assets.msn.com/labs/mind/AACuGOg.html	outdoors	24.0	Nov 2019	outdoors
6 hotels with incredible design from above   and how to get your own personal bird's-eye view	https://assets.msn.com/labs/mind/AAJKIlf.html	traveltripideas	8.0	Nov 2019	traveltripideas
The One-Word Mantra You Need This Thanksgiving, Based on Your Zodiac Sign	https://assets.msn.com/labs/mind/AAJWEyL.html	lifestylehoroscope	24.0	Nov 2019	lifestylehoroscope
These 13 Women Battled Workplace Discrimination   and Won	https://assets.msn.com/labs/mind/AAF7fUI.html	lifestylecareer	106.0	Nov 2019	lifestylecareer
The Most Beautiful Natural Wonder in Every State	https://assets.msn.com/labs/mind/AAF8Brj.html	traveltripideas	123.0	Nov 2019	traveltripideas
Football: Tracking where North Jersey's best players will be going to college	https://assets.msn.com/labs/mind/AAF8ClL.html	basketball_ncaa	12.0	Nov 2019	basketball_ncaa
Marvel's Avengers game release date, news, trailers and first impressions	https://assets.msn.com/labs/mind/AACv30p.html	gaming	4.0	Nov 2019	gaming
9 Vegetables You Shouldn't Eat Raw	https://assets.msn.com/labs/mind/AACMPka.html	nutrition	1517.0	Nov 2019	nutrition
This fast food chain has the best fries, according to customers	https://assets.msn.com/labs/mind/AAJaD1A.html	restaurantsandnews	3.0	Nov 2019	restaurantsandnews
Fact-checking Trump's spin about the 'great' outcome in Syria	https://assets.msn.com/labs/mind/AAJgU6g.html	newsfactcheck	4.0	Nov 2019	newsfactcheck
4Warn Forecast: Showers moving out, chilly for the Cardinals game tonight!	https://assets.msn.com/labs/mind/AACN1z5.html	weathertopstories	91.0	Nov 2019	weathertopstories
17 Outdated Office Etiquette Rules That Are So Laughable Today	https://assets.msn.com/labs/mind/AACP11v.html	lifestylecareer	6262.0	Nov 2019	lifestylecareer
Amazon Is Having Black Friday-Level Deals Right Now	https://assets.msn.com/labs/mind/AAGmaea.html	lifestylebuzz	79.0	Nov 2019	lifestylebuzz
9 Mistakes You're Making When Freezing Your Food	https://assets.msn.com/labs/mind/AACPLvE.html	tipsandtricks	362.0	Nov 2019	tipsandtricks
How Long Does the Flu Shot Last? Here's What Experts Say	https://assets.msn.com/labs/mind/AAGhtVJ.html	wellness	3.0	Nov 2019	wellness
Why I'm Done Celebrating The Accomplishments Of Couples	https://assets.msn.com/labs/mind/AACr3Oa.html	voices	3818.0	Nov 2019	voices
27 bad eating habits you need to stop right now	https://assets.msn.com/labs/mind/AAGmdMA.html	tipsandtricks	20.0	Nov 2019	tipsandtricks
Bengals pulled offer they made to Shaq Barrett after MRI, per report	https://assets.msn.com/labs/mind/AAHK04O.html	football_nfl	50.99999999999999	Nov 2019	football_nfl
7 Women Share What It's Really Like To Work On A Cruise Ship	https://assets.msn.com/labs/mind/AAGpxCT.html	travelnews	12074.0	Nov 2019	travelnews
